source_label,target_label,value
    {'Burundi'                  /     {'Paper'                                                                                                                                 ,    {'Slovenia'                 /     {'Processing of meat cattle'                                                                                                             ,263280270000000.0
    {'Burundi'                  /     {'Paper'                                                                                                                                 ,"    {'Slovenia'                 /     {'Plastics, basic'                                                                                                                       ",211545800000000.0
    {'Burundi'                  /     {'Paper'                                                                                                                                 ,"    {'USA'                      /     {'Production of electricity by tide, wave, ocean'                                                                                        ",254023300000000.0
    {'Burundi'                  /     {'Paper'                                                                                                                                 ,    {'USA'                      /     {'Real estate activities (70)'                                                                                                           ,274470320000000.0
    {'Burundi'                  /     {'Paper'                                                                                                                                 ,    {'South Korea'              /     {'Quarrying of sand and clay'                                                                                                            ,1124461970000000.0
    {'Burundi'                  /     {'Paper'                                                                                                                                 ,    {'South Korea'              /     {'Processing of meat cattle'                                                                                                             ,274256340000000.0
    {'Burundi'                  /     {'Paper'                                                                                                                                 ,    {'South Korea'              /     {'Processing of meat pigs'                                                                                                               ,240461960000000.0
    {'Burundi'                  /     {'Paper'                                                                                                                                 ,    {'South Korea'              /     {'Processing vegetable oils and fats'                                                                                                    ,696240600000000.0
    {'Burundi'                  /     {'Paper'                                                                                                                                 ,"    {'South Korea'              /     {'""Manufacture of wearing apparel; dressing and dyeing of fur (18)""'                                                                     ",334867360000000.0
    {'Burundi'                  /     {'Paper'                                                                                                                                 ,"    {'South Korea'              /     {'""Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials (20)""",298887550000000.0
    {'Burundi'                  /     {'Paper'                                                                                                                                 ,    {'South Korea'              /     {'Pulp'                                                                                                                                  ,1591206500000000.0
    {'Burundi'                  /     {'Paper'                                                                                                                                 ,    {'South Korea'              /     {'Paper'                                                                                                                                 ,262763670000000.0
    {'Burundi'                  /     {'Paper'                                                                                                                                 ,    {'South Korea'              /     {'Manufacture of coke oven products'                                                                                                     ,978778700000000.0
    {'Burundi'                  /     {'Paper'                                                                                                                                 ,"    {'South Korea'              /     {'Plastics, basic'                                                                                                                       ",254086740000000.0
    {'Burundi'                  /     {'Paper'                                                                                                                                 ,    {'South Korea'              /     {'N-fertiliser'                                                                                                                          ,1088336260000000.0
    {'Burundi'                  /     {'Paper'                                                                                                                                 ,    {'South Korea'              /     {'P- and other fertiliser'                                                                                                               ,1256365200000000.0
    {'Burundi'                  /     {'Paper'                                                                                                                                 ,    {'South Korea'              /     {'Manufacture of rubber and plastic products (25)'                                                                                       ,441625050000000.0
    {'Burundi'                  /     {'Paper'                                                                                                                                 ,"    {'South Korea'              /     {'Manufacture of motor vehicles, trailers and semi-trailers (34)'                                                                        ",356462700000000.0
    {'Burundi'                  /     {'Paper'                                                                                                                                 ,    {'South Korea'              /     {'Production of electricity nec'                                                                                                         ,470425420000000.0
    {'Burundi'                  /     {'Paper'                                                                                                                                 ,    {'South Korea'              /     {'Transport via railways'                                                                                                                ,226993180000000.0
    {'Burundi'                  /     {'Paper'                                                                                                                                 ,    {'South Korea'              /     {'Transport via pipelines'                                                                                                               ,228111270000000.0
    {'Burundi'                  /     {'Paper'                                                                                                                                 ,    {'South Korea'              /     {'Air transport (62)'                                                                                                                    ,286203170000000.0
    {'Burundi'                  /     {'Paper'                                                                                                                                 ,"    {'South Korea'              /     {'Financial intermediation, except insurance and pension funding (65)'                                                                   ",1523365400000000.0
    {'Burundi'                  /     {'Paper'                                                                                                                                 ,"    {'South Korea'              /     {'Insurance and pension funding, except compulsory social security (66)'                                                                 ",551268500000000.0
    {'Burundi'                  /     {'Paper'                                                                                                                                 ,    {'South Korea'              /     {'Real estate activities (70)'                                                                                                           ,317915320000000.0
    {'Burundi'                  /     {'Paper'                                                                                                                                 ,    {'South Korea'              /     {'Renting of machinery and equipment without operator and of personal and household goods (71)'                                          ,240264250000000.0
    {'Burundi'                  /     {'Paper'                                                                                                                                 ,    {'South Korea'              /     {'Education (80)'                                                                                                                        ,325170360000000.0
    {'Burundi'                  /     {'Paper'                                                                                                                                 ,    {'South Korea'              /     {'Activities of membership organisation n.e.c. (91)'                                                                                     ,1150466000000000.0
    {'Burundi'                  /     {'Paper'                                                                                                                                 ,"    {'Brazil'                   /     {'Cultivation of vegetables, fruit, nuts'                                                                                                ",278391560000000.0
    {'Burundi'                  /     {'Paper'                                                                                                                                 ,    {'Brazil'                   /     {'Mining of nickel ores and concentrates'                                                                                                ,477539700000000.0
    {'Burundi'                  /     {'Paper'                                                                                                                                 ,    {'Brazil'                   /     {'Mining of aluminium ores and concentrates'                                                                                             ,452013870000000.0
    {'Burundi'                  /     {'Paper'                                                                                                                                 ,    {'Brazil'                   /     {'Mining of precious metal ores and concentrates'                                                                                        ,208249440000000.0
    {'Burundi'                  /     {'Paper'                                                                                                                                 ,"    {'Brazil'                   /     {'Mining of lead, zinc and tin ores and concentrates'                                                                                    ",428632000000000.0
    {'Burundi'                  /     {'Paper'                                                                                                                                 ,    {'Brazil'                   /     {'Mining of other non-ferrous metal ores and concentrates'                                                                               ,763017200000000.0
    {'Burundi'                  /     {'Paper'                                                                                                                                 ,    {'Brazil'                   /     {'Quarrying of stone'                                                                                                                    ,2276043300000000.0
    {'Burundi'                  /     {'Paper'                                                                                                                                 ,    {'Brazil'                   /     {'Quarrying of sand and clay'                                                                                                            ,941124900000000.0
    {'Burundi'                  /     {'Paper'                                                                                                                                 ,"    {'Brazil'                   /     {'Mining of chemical and fertilizer minerals, production of salt, other mining and quarrying n.e.c.'                                     ",334148120000000.0
    {'Burundi'                  /     {'Paper'                                                                                                                                 ,    {'Brazil'                   /     {'Processing of meat pigs'                                                                                                               ,1017841750000000.0
    {'Burundi'                  /     {'Paper'                                                                                                                                 ,    {'Brazil'                   /     {'Processing vegetable oils and fats'                                                                                                    ,251825480000000.0
    {'Burundi'                  /     {'Paper'                                                                                                                                 ,    {'Brazil'                   /     {'Re-processing of secondary paper into new pulp'                                                                                        ,396638080000000.0
    {'Burundi'                  /     {'Paper'                                                                                                                                 ,    {'Brazil'                   /     {'Paper'                                                                                                                                 ,347811000000000.0
    {'Burundi'                  /     {'Paper'                                                                                                                                 ,"    {'Brazil'                   /     {'Plastics, basic'                                                                                                                       ",6779859300000000.0
    {'Burundi'                  /     {'Paper'                                                                                                                                 ,    {'Brazil'                   /     {'N-fertiliser'                                                                                                                          ,2114396700000000.0
    {'Burundi'                  /     {'Paper'                                                                                                                                 ,    {'Brazil'                   /     {'P- and other fertiliser'                                                                                                               ,308549200000000.0
    {'Burundi'                  /     {'Paper'                                                                                                                                 ,    {'Brazil'                   /     {'Chemicals nec'                                                                                                                         ,988626200000000.0
    {'Burundi'                  /     {'Paper'                                                                                                                                 ,    {'Brazil'                   /     {'Manufacture of glass and glass products'                                                                                               ,5806060000000000.0
    {'Burundi'                  /     {'Paper'                                                                                                                                 ,    {'Brazil'                   /     {'Manufacture of ceramic goods'                                                                                                          ,1038337070000000.0
    {'Burundi'                  /     {'Paper'                                                                                                                                 ,    {'Brazil'                   /     {'Manufacture of other non-metallic mineral products n.e.c.'                                                                             ,580990200000000.0
    {'Burundi'                  /     {'Paper'                                                                                                                                 ,    {'Brazil'                   /     {'Processing of nuclear fuel'                                                                                                            ,410962500000000.0
    {'Burundi'                  /     {'Paper'                                                                                                                                 ,    {'Brazil'                   /     {'Manufacture of basic iron and steel and of ferro-alloys and first products thereof'                                                    ,4135089300000000.0
    {'Burundi'                  /     {'Paper'                                                                                                                                 ,    {'Brazil'                   /     {'Re-processing of secondary steel into new steel'                                                                                       ,2069553500000000.0
    {'Burundi'                  /     {'Paper'                                                                                                                                 ,    {'Brazil'                   /     {'Precious metals production'                                                                                                            ,1580266800000000.0
    {'Burundi'                  /     {'Paper'                                                                                                                                 ,    {'Brazil'                   /     {'Aluminium production'                                                                                                                  ,1.1580924e+16
    {'Burundi'                  /     {'Paper'                                                                                                                                 ,    {'Brazil'                   /     {'Re-processing of secondary aluminium into new aluminium'                                                                               ,458105640000000.0
    {'Burundi'                  /     {'Paper'                                                                                                                                 ,"    {'Brazil'                   /     {'Re-processing of secondary lead into new lead, zinc and tin'                                                                           ",2.0153303e+16
    {'Burundi'                  /     {'Paper'                                                                                                                                 ,    {'Brazil'                   /     {'Copper production'                                                                                                                     ,490612800000000.0
    {'Burundi'                  /     {'Paper'                                                                                                                                 ,    {'Brazil'                   /     {'Re-processing of secondary copper into new copper'                                                                                     ,2958924300000000.0
    {'Burundi'                  /     {'Paper'                                                                                                                                 ,    {'Brazil'                   /     {'Re-processing of secondary other non-ferrous metals into new other non-ferrous metals'                                                 ,1517574100000000.0
    {'Burundi'                  /     {'Paper'                                                                                                                                 ,    {'Brazil'                   /     {'Casting of metals'                                                                                                                     ,8630502700000000.0
    {'Burundi'                  /     {'Paper'                                                                                                                                 ,    {'Brazil'                   /     {'Manufacture of machinery and equipment n.e.c. (29)'                                                                                    ,1015510600000000.0
    {'Burundi'                  /     {'Paper'                                                                                                                                 ,    {'Brazil'                   /     {'Manufacture of office machinery and computers (30)'                                                                                    ,1521481700000000.0
    {'Burundi'                  /     {'Paper'                                                                                                                                 ,    {'Brazil'                   /     {'Manufacture of electrical machinery and apparatus n.e.c. (31)'                                                                         ,1249489000000000.0
    {'Burundi'                  /     {'Paper'                                                                                                                                 ,    {'India'                    /     {'Pigs farming'                                                                                                                          ,648488450000000.0
    {'Burundi'                  /     {'Paper'                                                                                                                                 ,    {'India'                    /     {'Poultry farming'                                                                                                                       ,308860230000000.0
    {'Burundi'                  /     {'Paper'                                                                                                                                 ,"    {'India'                    /     {'Extraction of natural gas and services related to natural gas extraction, excluding surveying'                                         ",396157580000000.0
    {'Burundi'                  /     {'Paper'                                                                                                                                 ,    {'India'                    /     {'Re-processing of secondary wood material into new wood material'                                                                       ,1055103300000000.0
    {'Burundi'                  /     {'Paper'                                                                                                                                 ,    {'India'                    /     {'Re-processing of secondary paper into new pulp'                                                                                        ,254458900000000.0
    {'Burundi'                  /     {'Paper'                                                                                                                                 ,    {'India'                    /     {'Paper'                                                                                                                                 ,512406380000000.0
    {'Burundi'                  /     {'Paper'                                                                                                                                 ,    {'India'                    /     {'Petroleum Refinery'                                                                                                                    ,1044648250000000.0
    {'Burundi'                  /     {'Paper'                                                                                                                                 ,    {'India'                    /     {'Re-processing of secondary copper into new copper'                                                                                     ,2494878300000000.0
    {'Burundi'                  /     {'Paper'                                                                                                                                 ,    {'India'                    /     {'Re-processing of secondary other non-ferrous metals into new other non-ferrous metals'                                                 ,468363300000000.0
    {'Burundi'                  /     {'Paper'                                                                                                                                 ,    {'India'                    /     {'Casting of metals'                                                                                                                     ,258493610000000.0
    {'Burundi'                  /     {'Paper'                                                                                                                                 ,    {'India'                    /     {'Manufacture of machinery and equipment n.e.c. (29)'                                                                                    ,389044550000000.0
    {'Burundi'                  /     {'Paper'                                                                                                                                 ,    {'India'                    /     {'Manufacture of electrical machinery and apparatus n.e.c. (31)'                                                                         ,1734431000000000.0
    {'Burundi'                  /     {'Paper'                                                                                                                                 ,"    {'India'                    /     {'Manufacture of radio, television and communication equipment and apparatus (32)'                                                       ",353286000000000.0
    {'Burundi'                  /     {'Paper'                                                                                                                                 ,"    {'India'                    /     {'Manufacture of medical, precision and optical instruments, watches and clocks (33)'                                                    ",496273040000000.0
    {'Burundi'                  /     {'Paper'                                                                                                                                 ,"    {'India'                    /     {'""Manufacture of furniture; manufacturing n.e.c. (36)""'                                                                                 ",222727730000000.0
    {'Burundi'                  /     {'Paper'                                                                                                                                 ,    {'India'                    /     {'Recycling of waste and scrap'                                                                                                          ,737661040000000.0
    {'Burundi'                  /     {'Paper'                                                                                                                                 ,    {'India'                    /     {'Recycling of bottles by direct reuse'                                                                                                  ,265590060000000.0
    {'Burundi'                  /     {'Paper'                                                                                                                                 ,    {'India'                    /     {'Production of electricity by coal'                                                                                                     ,537275780000000.0
    {'Burundi'                  /     {'Paper'                                                                                                                                 ,    {'India'                    /     {'Production of electricity by solar photovoltaic'                                                                                       ,685537000000000.0
    {'Burundi'                  /     {'Paper'                                                                                                                                 ,"    {'India'                    /     {'Production of electricity by tide, wave, ocean'                                                                                        ",1148005600000000.0
    {'Burundi'                  /     {'Paper'                                                                                                                                 ,    {'India'                    /     {'Production of electricity by Geothermal'                                                                                               ,2872422300000000.0
    {'Burundi'                  /     {'Paper'                                                                                                                                 ,    {'India'                    /     {'Transmission of electricity'                                                                                                           ,519664800000000.0
    {'Burundi'                  /     {'Paper'                                                                                                                                 ,    {'India'                    /     {'Distribution and trade of electricity'                                                                                                 ,593794100000000.0
    {'Burundi'                  /     {'Paper'                                                                                                                                 ,"    {'India'                    /     {'Publishing, printing and reproduction of recorded media (22)'                                                                          ",636028100000000.0
    {'Burundi'                  /     {'Paper'                                                                                                                                 ,    {'Mexico'                   /     {'Cultivation of cereal grains nec'                                                                                                      ,220204060000000.0
    {'Burundi'                  /     {'Paper'                                                                                                                                 ,    {'Mexico'                   /     {'Processing of meat cattle'                                                                                                             ,2346306000000000.0
    {'Burundi'                  /     {'Paper'                                                                                                                                 ,    {'Mexico'                   /     {'Processing of meat pigs'                                                                                                               ,344975530000000.0
    {'Burundi'                  /     {'Paper'                                                                                                                                 ,    {'Mexico'                   /     {'Processing of meat poultry'                                                                                                            ,2183431700000000.0
    {'Burundi'                  /     {'Paper'                                                                                                                                 ,    {'Mexico'                   /     {'Production of meat products nec'                                                                                                       ,619301740000000.0
    {'Burundi'                  /     {'Paper'                                                                                                                                 ,    {'Mexico'                   /     {'Manufacture of fish products'                                                                                                          ,599287260000000.0
    {'Burundi'                  /     {'Paper'                                                                                                                                 ,    {'Mexico'                   /     {'Re-processing of secondary wood material into new wood material'                                                                       ,310869570000000.0
    {'Burundi'                  /     {'Paper'                                                                                                                                 ,    {'Mexico'                   /     {'Pulp'                                                                                                                                  ,336068880000000.0
    {'Burundi'                  /     {'Paper'                                                                                                                                 ,    {'Mexico'                   /     {'Re-processing of secondary preciuos metals into new preciuos metals'                                                                   ,3544585000000000.0
    {'Burundi'                  /     {'Paper'                                                                                                                                 ,    {'Mexico'                   /     {'Aluminium production'                                                                                                                  ,1071053800000000.0
    {'Burundi'                  /     {'Paper'                                                                                                                                 ,    {'Mexico'                   /     {'Re-processing of secondary aluminium into new aluminium'                                                                               ,2398515600000000.0
    {'Burundi'                  /     {'Paper'                                                                                                                                 ,"    {'Mexico'                   /     {'Lead, zinc and tin production'                                                                                                         ",1463742300000000.0
    {'Burundi'                  /     {'Paper'                                                                                                                                 ,"    {'Mexico'                   /     {'Re-processing of secondary lead into new lead, zinc and tin'                                                                           ",377827100000000.0
    {'Burundi'                  /     {'Paper'                                                                                                                                 ,    {'Mexico'                   /     {'Copper production'                                                                                                                     ,2265908500000000.0
    {'Burundi'                  /     {'Paper'                                                                                                                                 ,    {'Mexico'                   /     {'Re-processing of secondary copper into new copper'                                                                                     ,1325732800000000.0
    {'Burundi'                  /     {'Paper'                                                                                                                                 ,    {'Mexico'                   /     {'Casting of metals'                                                                                                                     ,570505540000000.0
    {'Burundi'                  /     {'Paper'                                                                                                                                 ,    {'Mexico'                   /     {'Production of electricity by solar photovoltaic'                                                                                       ,1.5275605e+16
    {'Burundi'                  /     {'Paper'                                                                                                                                 ,"    {'Mexico'                   /     {'Production of electricity by tide, wave, ocean'                                                                                        ",540584900000000.0
    {'Burundi'                  /     {'Paper'                                                                                                                                 ,    {'Mexico'                   /     {'Production of electricity by Geothermal'                                                                                               ,1455491800000000.0
    {'Burundi'                  /     {'Paper'                                                                                                                                 ,    {'Mexico'                   /     {'Production of electricity nec'                                                                                                         ,1160326800000000.0
    {'Burundi'                  /     {'Paper'                                                                                                                                 ,    {'Mexico'                   /     {'Distribution and trade of electricity'                                                                                                 ,1981784100000000.0
    {'Burundi'                  /     {'Paper'                                                                                                                                 ,"    {'Mexico'                   /     {'""Retail trade, except of motor vehicles and motorcycles; repair of personal and household goods (52)""'                                 ",1071631000000000.0
    {'Burundi'                  /     {'Paper'                                                                                                                                 ,    {'Mexico'                   /     {'Retail sale of automotive fuel'                                                                                                        ,401188700000000.0
    {'Burundi'                  /     {'Paper'                                                                                                                                 ,    {'Mexico'                   /     {'Hotels and restaurants (55)'                                                                                                           ,1660686100000000.0
    {'Burundi'                  /     {'Paper'                                                                                                                                 ,    {'Mexico'                   /     {'Transport via railways'                                                                                                                ,364159300000000.0
    {'Burundi'                  /     {'Paper'                                                                                                                                 ,    {'Mexico'                   /     {'Other land transport'                                                                                                                  ,2489113700000000.0
    {'Burundi'                  /     {'Paper'                                                                                                                                 ,    {'Mexico'                   /     {'Sea and coastal water transport'                                                                                                       ,506602230000000.0
    {'Burundi'                  /     {'Paper'                                                                                                                                 ,    {'Mexico'                   /     {'Inland water transport'                                                                                                                ,6232940000000000.0
    {'Burundi'                  /     {'Paper'                                                                                                                                 ,"    {'Mexico'                   /     {'""Supporting and auxiliary transport activities; activities of travel agencies (63)""'                                                   ",2763586800000000.0
    {'Burundi'                  /     {'Paper'                                                                                                                                 ,    {'Mexico'                   /     {'Post and telecommunications (64)'                                                                                                      ,225531080000000.0
    {'Burundi'                  /     {'Paper'                                                                                                                                 ,"    {'Mexico'                   /     {'Financial intermediation, except insurance and pension funding (65)'                                                                   ",4471777400000000.0
    {'Burundi'                  /     {'Paper'                                                                                                                                 ,"    {'Mexico'                   /     {'Insurance and pension funding, except compulsory social security (66)'                                                                 ",4484210000000000.0
    {'Burundi'                  /     {'Paper'                                                                                                                                 ,    {'Mexico'                   /     {'Activities auxiliary to financial intermediation (67)'                                                                                 ,1334120000000000.0
    {'Burundi'                  /     {'Paper'                                                                                                                                 ,    {'Mexico'                   /     {'Real estate activities (70)'                                                                                                           ,950879300000000.0
    {'Burundi'                  /     {'Paper'                                                                                                                                 ,    {'Mexico'                   /     {'Renting of machinery and equipment without operator and of personal and household goods (71)'                                          ,1579335000000000.0
    {'Burundi'                  /     {'Paper'                                                                                                                                 ,"    {'Mexico'                   /     {'""Public administration and defence; compulsory social security (75)""'                                                                  ",385546030000000.0
    {'Burundi'                  /     {'Paper'                                                                                                                                 ,    {'Russia'                   /     {'Production of electricity by biomass and waste'                                                                                        ,316847220000000.0
    {'Burundi'                  /     {'Paper'                                                                                                                                 ,"    {'Russia'                   /     {'""Supporting and auxiliary transport activities; activities of travel agencies (63)""'                                                   ",1109907800000000.0
    {'Burundi'                  /     {'Paper'                                                                                                                                 ,    {'Russia'                   /     {'Renting of machinery and equipment without operator and of personal and household goods (71)'                                          ,261955000000000.0
    {'Burundi'                  /     {'Paper'                                                                                                                                 ,    {'Australia'                /     {'Cultivation of cereal grains nec'                                                                                                      ,834188800000000.0
    {'Burundi'                  /     {'Paper'                                                                                                                                 ,"    {'Australia'                /     {'Cultivation of sugar cane, sugar beet'                                                                                                 ",1538791500000000.0
    {'Burundi'                  /     {'Paper'                                                                                                                                 ,    {'Australia'                /     {'Cultivation of crops nec'                                                                                                              ,213323830000000.0
    {'Burundi'                  /     {'Paper'                                                                                                                                 ,    {'Australia'                /     {'Pigs farming'                                                                                                                          ,230996780000000.0
    {'Burundi'                  /     {'Paper'                                                                                                                                 ,    {'Australia'                /     {'Poultry farming'                                                                                                                       ,283206600000000.0
    {'Burundi'                  /     {'Paper'                                                                                                                                 ,    {'Australia'                /     {'Transport via railways'                                                                                                                ,333230070000000.0
    {'Burundi'                  /     {'Paper'                                                                                                                                 ,    {'Australia'                /     {'Sea and coastal water transport'                                                                                                       ,382065300000000.0
    {'Burundi'                  /     {'Paper'                                                                                                                                 ,    {'Australia'                /     {'Air transport (62)'                                                                                                                    ,323157730000000.0
    {'Burundi'                  /     {'Paper'                                                                                                                                 ,    {'Switzerland'              /     {'Cultivation of crops nec'                                                                                                              ,1058094250000000.0
    {'Burundi'                  /     {'Paper'                                                                                                                                 ,    {'Switzerland'              /     {'Raw milk'                                                                                                                              ,213537440000000.0
    {'Burundi'                  /     {'Paper'                                                                                                                                 ,    {'Switzerland'              /     {'Mining of uranium and thorium ores (12)'                                                                                               ,249532680000000.0
    {'Burundi'                  /     {'Paper'                                                                                                                                 ,    {'Switzerland'              /     {'Mining of copper ores and concentrates'                                                                                                ,613418800000000.0
    {'Burundi'                  /     {'Paper'                                                                                                                                 ,    {'Switzerland'              /     {'Mining of precious metal ores and concentrates'                                                                                        ,899873100000000.0
    {'Burundi'                  /     {'Paper'                                                                                                                                 ,    {'Switzerland'              /     {'Quarrying of sand and clay'                                                                                                            ,691580500000000.0
    {'Burundi'                  /     {'Paper'                                                                                                                                 ,"    {'Switzerland'              /     {'Mining of chemical and fertilizer minerals, production of salt, other mining and quarrying n.e.c.'                                     ",686293900000000.0
    {'Burundi'                  /     {'Paper'                                                                                                                                 ,    {'Turkey'                   /     {'Mining of other non-ferrous metal ores and concentrates'                                                                               ,567595400000000.0
    {'Burundi'                  /     {'Paper'                                                                                                                                 ,    {'Turkey'                   /     {'Processing of meat poultry'                                                                                                            ,426244500000000.0
    {'Burundi'                  /     {'Paper'                                                                                                                                 ,    {'Turkey'                   /     {'Manufacture of beverages'                                                                                                              ,210428450000000.0
    {'Burundi'                  /     {'Paper'                                                                                                                                 ,"    {'Turkey'                   /     {'""Manufacture of wearing apparel; dressing and dyeing of fur (18)""'                                                                     ",276898600000000.0
    {'Burundi'                  /     {'Paper'                                                                                                                                 ,    {'Turkey'                   /     {'Re-processing of secondary wood material into new wood material'                                                                       ,440679350000000.0
    {'Burundi'                  /     {'Paper'                                                                                                                                 ,    {'Turkey'                   /     {'Re-processing of secondary paper into new pulp'                                                                                        ,1020906300000000.0
    {'Burundi'                  /     {'Paper'                                                                                                                                 ,"    {'Turkey'                   /     {'Plastics, basic'                                                                                                                       ",333904700000000.0
    {'Burundi'                  /     {'Paper'                                                                                                                                 ,    {'Turkey'                   /     {'Re-processing of secondary plastic into new plastic'                                                                                   ,496243780000000.0
    {'Burundi'                  /     {'Paper'                                                                                                                                 ,    {'Turkey'                   /     {'Manufacture of machinery and equipment n.e.c. (29)'                                                                                    ,274815310000000.0
    {'Burundi'                  /     {'Paper'                                                                                                                                 ,    {'Turkey'                   /     {'Manufacture of office machinery and computers (30)'                                                                                    ,216500120000000.0
    {'Burundi'                  /     {'Paper'                                                                                                                                 ,"    {'Turkey'                   /     {'Manufacture of radio, television and communication equipment and apparatus (32)'                                                       ",370568670000000.0
    {'Burundi'                  /     {'Paper'                                                                                                                                 ,    {'Turkey'                   /     {'Production of electricity by gas'                                                                                                      ,388758730000000.0
    {'Burundi'                  /     {'Paper'                                                                                                                                 ,"    {'Turkey'                   /     {'""Supporting and auxiliary transport activities; activities of travel agencies (63)""'                                                   ",266927000000000.0
    {'Burundi'                  /     {'Paper'                                                                                                                                 ,"    {'Turkey'                   /     {'Insurance and pension funding, except compulsory social security (66)'                                                                 ",474569800000000.0
    {'Burundi'                  /     {'Paper'                                                                                                                                 ,    {'Turkey'                   /     {'Education (80)'                                                                                                                        ,384218240000000.0
    {'Burundi'                  /     {'Paper'                                                                                                                                 ,    {'Taiwan'                   /     {'Cultivation of wheat'                                                                                                                  ,416034500000000.0
    {'Burundi'                  /     {'Paper'                                                                                                                                 ,    {'Taiwan'                   /     {'Mining of iron ores'                                                                                                                   ,328296460000000.0
    {'Burundi'                  /     {'Paper'                                                                                                                                 ,    {'Taiwan'                   /     {'Mining of nickel ores and concentrates'                                                                                                ,279972040000000.0
    {'Burundi'                  /     {'Paper'                                                                                                                                 ,"    {'Taiwan'                   /     {'Mining of lead, zinc and tin ores and concentrates'                                                                                    ",377075880000000.0
    {'Burundi'                  /     {'Paper'                                                                                                                                 ,"    {'Taiwan'                   /     {'Mining of chemical and fertilizer minerals, production of salt, other mining and quarrying n.e.c.'                                     ",336664330000000.0
    {'Burundi'                  /     {'Paper'                                                                                                                                 ,    {'Taiwan'                   /     {'Manufacture of coke oven products'                                                                                                     ,2354138100000000.0
    {'Burundi'                  /     {'Paper'                                                                                                                                 ,    {'Taiwan'                   /     {'Re-processing of secondary plastic into new plastic'                                                                                   ,362870180000000.0
    {'Burundi'                  /     {'Paper'                                                                                                                                 ,    {'Taiwan'                   /     {'Chemicals nec'                                                                                                                         ,358572860000000.0
    {'Burundi'                  /     {'Paper'                                                                                                                                 ,    {'Taiwan'                   /     {'Manufacture of glass and glass products'                                                                                               ,526710560000000.0
    {'Burundi'                  /     {'Paper'                                                                                                                                 ,    {'Taiwan'                   /     {'Precious metals production'                                                                                                            ,847116900000000.0
    {'Burundi'                  /     {'Paper'                                                                                                                                 ,    {'Taiwan'                   /     {'Re-processing of secondary aluminium into new aluminium'                                                                               ,1164572000000000.0
    {'Burundi'                  /     {'Paper'                                                                                                                                 ,    {'Taiwan'                   /     {'Re-processing of secondary copper into new copper'                                                                                     ,584054000000000.0
    {'Burundi'                  /     {'Paper'                                                                                                                                 ,    {'Taiwan'                   /     {'Other non-ferrous metal production'                                                                                                    ,416575150000000.0
    {'Burundi'                  /     {'Paper'                                                                                                                                 ,    {'Norway'                   /     {'Paper'                                                                                                                                 ,386145240000000.0
    {'Burundi'                  /     {'Paper'                                                                                                                                 ,"    {'Norway'                   /     {'Re-processing of secondary lead into new lead, zinc and tin'                                                                           ",681913900000000.0
    {'Burundi'                  /     {'Paper'                                                                                                                                 ,    {'Norway'                   /     {'Other non-ferrous metal production'                                                                                                    ,242178950000000.0
    {'Burundi'                  /     {'Paper'                                                                                                                                 ,    {'Norway'                   /     {'Manufacture of machinery and equipment n.e.c. (29)'                                                                                    ,400375800000000.0
    {'Burundi'                  /     {'Paper'                                                                                                                                 ,    {'Norway'                   /     {'Manufacture of electrical machinery and apparatus n.e.c. (31)'                                                                         ,358981150000000.0
    {'Burundi'                  /     {'Paper'                                                                                                                                 ,    {'Norway'                   /     {'Production of electricity by coal'                                                                                                     ,648581200000000.0
    {'Burundi'                  /     {'Paper'                                                                                                                                 ,    {'Norway'                   /     {'Production of electricity by hydro'                                                                                                    ,337061400000000.0
    {'Burundi'                  /     {'Paper'                                                                                                                                 ,    {'Norway'                   /     {'Production of electricity by solar photovoltaic'                                                                                       ,354050660000000.0
    {'Burundi'                  /     {'Paper'                                                                                                                                 ,    {'Norway'                   /     {'Production of electricity by solar thermal'                                                                                            ,265322180000000.0
    {'Burundi'                  /     {'Paper'                                                                                                                                 ,    {'Indonesia'                /     {'Mining of other non-ferrous metal ores and concentrates'                                                                               ,209755260000000.0
    {'Burundi'                  /     {'Paper'                                                                                                                                 ,    {'Indonesia'                /     {'Production of electricity by petroleum and other oil derivatives'                                                                      ,936873700000000.0
    {'Burundi'                  /     {'Paper'                                                                                                                                 ,    {'Indonesia'                /     {'Production of electricity by solar thermal'                                                                                            ,462328940000000.0
    {'Burundi'                  /     {'Paper'                                                                                                                                 ,"    {'Indonesia'                /     {'Production of electricity by tide, wave, ocean'                                                                                        ",373530860000000.0
    {'Burundi'                  /     {'Paper'                                                                                                                                 ,    {'Indonesia'                /     {'Transport via pipelines'                                                                                                               ,464333280000000.0
    {'Burundi'                  /     {'Paper'                                                                                                                                 ,"    {'Indonesia'                /     {'""Supporting and auxiliary transport activities; activities of travel agencies (63)""'                                                   ",412759780000000.0
    {'Burundi'                  /     {'Paper'                                                                                                                                 ,    {'Indonesia'                /     {'Post and telecommunications (64)'                                                                                                      ,429755130000000.0
    {'Burundi'                  /     {'Paper'                                                                                                                                 ,    {'South Africa'             /     {'Inland water transport'                                                                                                                ,821640670000000.0
    {'Burundi'                  /     {'Paper'                                                                                                                                 ,    {'South Africa'             /     {'Activities auxiliary to financial intermediation (67)'                                                                                 ,325221000000000.0
    {'Burundi'                  /     {'Paper'                                                                                                                                 ,    {'South Africa'             /     {'Activities of membership organisation n.e.c. (91)'                                                                                     ,216348840000000.0
